adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks
0000004977-20-000002	4977	AFLAC INC	6321	US	GA	COLUMBUS	31999	1932 WYNNTON RD		7063233431	US	GA	COLUMBUS	31999	1932 WYNNTON ROAD		US	GA	581167100	AMERICAN FAMILY CORP	19920306	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 07:45:00.0	0	0	afl8-kxdecember2019xot_htm.xml	1	
0000018498-20-000002	18498	GENESCO INC	5661	US	TN	NASHVILLE	37217	GENESCO PK 1415 MURFREESBORO RD		6153677000	US	TN	NASHVILLE	37217	GENESCO PK 1415 MURFREESBORO RD		US	TN	620211340			1-LAF	0	0131	8-K	20191231			20200102	2020-01-02 17:05:00.0	0	0	a8-ktogast010220_htm.xml	1	
0000052795-20-000004	52795	ANIXTER INTERNATIONAL INC	5063	US	IL	GLENVIEW	60026	2301 PATRIOT BLVD		2245218204	US	IL	GLENVIEW	60026	2301 PATRIOT BLVD		US	DE	941658138	ITEL CORP	19920703	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 06:38:00.0	1	0	a8-kxsecondamendedmerg_htm.xml	1	
0000082811-20-000002	82811	REGAL BELOIT CORP	3621	US	WI	BELOIT	53511	200 STATE ST		6083648800	US	WI	BELOIT	53511-6254	200 STATE STREET		US	WI	390875718	BELOIT TOOL CORP	19730522	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 09:09:00.0	0	0	a8-kdec272019cover_htm.xml	1	
0000091767-20-000003	91767	SONOCO PRODUCTS CO	2650	US	SC	HARTSVILLE	29551-0160	ONE NORTH SECOND ST	P O BOX 160	8433837000	US	SC	HARTSVILLE	29550	ONE N. SECOND STREET		US	SC	570248420			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 11:55:00.0	1	0	son-20191231_htm.xml	1	
0000798941-20-000002	798941	FIRST CITIZENS BANCSHARES INC /DE/	6022	US	NC	RALEIGH	27609	4300 SIX FORKS ROAD		919 716 7000	US	NC	RALEIGH	27609	4300 SIX FORKS ROAD		US	DE	561528994			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 09:28:00.0	0	0	a8-kcoverpageentegrafi_htm.xml	1	
0000916540-20-000002	916540	DARLING INGREDIENTS INC.	2070	US	TX	IRVING	75038	5601 N MACARTHUR BLVD		9727170300	US	TX	IRVING	75038	5601 N MACARTHUR BLVD		US	DE	362495346	DARLING INTERNATIONAL INC	19931223	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:19:00.0	0	0	dar-20200102x8k_htm.xml	1	
0000940944-20-000003	940944	DARDEN RESTAURANTS INC	5812	US	FL	ORLANDO	32837	1000 DARDEN CENTER DRIVE		4072454000	US	FL	ORLANDO	32837	1000 DARDEN CENTER DRIVE		US	FL	593305930	GENERAL MILLS RESTAURANTS INC	19950313	1-LAF	0	0531	10-Q	20191130	2020	Q2	20200102	2020-01-02 16:21:00.0	0	1	q2fy2010-q_htm.xml	1	
0000945841-20-000005	945841	POOL CORP	5090	US	LA	COVINGTON	70433-5001	109 NORTHPARK BLVD	4TH FLOOR	9858925521	US	LA	COVINGTON	70433-5001	109 NORTHPARK BLVD	4TH FLOOR	US	DE	363943363	SCP POOL CORP	19950526	1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:31:00.0	0	0	pool-20200102_htm.xml	1	
0001047862-20-000002	1047862	CONSOLIDATED EDISON INC	4931	US	NY	NEW YORK	10003	4 IRVING PLACE		8005225635	US	NY	NEW YORK	10003	4 IRVING PLACE		US	NY	133965100			1-LAF	0	1231	8-K	20191231			20200102	2020-01-02 16:32:00.0	0	0	retirementofelizabethm_htm.xml	2	23632
