filename,status, issue_cause downloadURL, issue_cause accessURL
Contracts Finder OCDS 2022-02-03,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-01,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-10,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-20,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-16,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-13,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-21,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-06,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-07,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-09,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-04,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-02,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-17,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-22,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-08,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-12,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-15,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-18,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-19,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-11,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-14,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-23,issue,no download url available,Error: Request failed with status code 404
Contracts Finder OCDS 2022-02-05,issue,no download url available,Error: Request failed with status code 404
