,Unnamed: 0,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1930500,6987935,2008,12,9,2,2225.0,1835,2340.0,2021,CO,1199,N14653,75.0,106.0,55.0,199.0,230.0,BOS,EWR,200,7.0,13.0,0,N,0,0.0,0.0,199.0,0.0,0.0
1930501,6987936,2008,12,9,2,1454.0,1429,1816.0,1800,CO,1401,N76254,202.0,211.0,163.0,16.0,25.0,MIA,EWR,1086,7.0,32.0,0,N,0,0.0,16.0,0.0,0.0,0.0
1930502,6987940,2008,12,9,2,922.0,905,1133.0,1117,CO,1407,N32404,251.0,252.0,226.0,16.0,17.0,IAH,SJC,1608,4.0,21.0,0,N,0,16.0,0.0,0.0,0.0,0.0
1930503,6987942,2008,12,9,2,2145.0,2120,2245.0,2226,CO,1415,N78509,60.0,66.0,44.0,19.0,25.0,IAH,DFW,224,4.0,12.0,0,N,0,19.0,0.0,0.0,0.0,0.0
1930504,6987943,2008,12,9,2,1949.0,1905,2333.0,2300,CO,1417,N18622,164.0,175.0,134.0,33.0,44.0,IAH,PIT,1117,5.0,25.0,0,N,0,7.0,0.0,0.0,0.0,26.0
1930505,6987950,2008,12,9,2,2131.0,2050,2326.0,2246,CO,1428,N12221,175.0,176.0,144.0,40.0,41.0,IAH,PHX,1009,5.0,26.0,0,N,0,40.0,0.0,0.0,0.0,0.0
1930506,6987951,2008,12,9,2,1949.0,1645,2149.0,1859,CO,1430,N14308,120.0,134.0,78.0,170.0,184.0,DTW,EWR,487,8.0,34.0,0,N,0,0.0,0.0,50.0,0.0,120.0
1930507,6987955,2008,12,9,2,1218.0,1200,1533.0,1534,CO,1435,N78285,315.0,334.0,285.0,-1.0,18.0,EWR,PHX,2133,9.0,21.0,0,N,0,,,,,
1930508,6987959,2008,12,9,2,2115.0,1915,2226.0,2018,CO,1441,N17233,71.0,63.0,44.0,128.0,120.0,IAH,AUS,140,4.0,23.0,0,N,0,0.0,8.0,8.0,0.0,112.0
1930509,6987965,2008,12,9,2,2109.0,2055,2226.0,2230,CO,1459,N76516,197.0,215.0,180.0,-4.0,14.0,IAH,SNA,1347,4.0,13.0,0,N,0,,,,,
