QCODEID,MCODE,LCODE,RID,FIELDNAME,FROM_DATE,TO_DATE,DATETYPE,QCODE,CONTINUING,SITECODE,DESCRIPTION
64,MA,1,,,07-Jun-1993,07-Jun-1993,D,3018,,T01,Soil temperature at 30cm depth - value clearly in error (6999 recorded) - set to null
63,MA,1,,,01-Jan-1993,31-Jul-1993,R,3017,Y,T01,Soil water recording problems - data missing
27,MA,1,,SWATER,01-Sep-1993,07-Sep-1993,R,3089,,T01,"SWATER values above upper range. Dry period, but gypsum block may be suspect"
28,MA,1,,,01-Jan-1993,19-Apr-1994,R,3090,Y,T01,"Albedometers not operational (ALBGRD,ALBSKY)"
82,MA,1,,WETTMP,01-Jan-1994,19-Apr-1994,R,3125,N,T01,Wet bulb temperatures may be suspect - wick old and grimy
81,MA,1,,SWATER,14-Jun-1994,14-Jun-1994,D,3124,N,T01,Soil Water values in error from 10.00 to 14.00 - set to null
102,MA,1,,WETTMP,29-Jun-1994,11-Jul-1994,R,184,N,T01,Wet bulb reservoir/wick dry
80,MA,1,,SWATER,27-Jun-1994,31-Aug-1994,R,3089,,T01,"SWATER values above upper range. Dry period, but gypsum block may be suspect"
306,MA,1,,SWATER,16-Jun-1996,31-Aug-1996,R,3089,N,T01,"SWATER values above upper range. Dry period, but gypsum block may be suspect"
793,MA,1,,,24-May-1999,26-May-1999,R,3571,N,T01,Unexplained loss of data.  They will get the logger looked at.
794,MA,1,,,11-Aug-1999,07-Sep-1999,R,3571,N,T01,Unexplained loss of data.  They will get the logger looked at.
3855,MA,1,,NETRAD,26-Feb-2004,11-Mar-2004,R,4008,N,T01,"Net radiometer removed 1600 on 26/02/04 and sent to ELE for re-coating, re-installed 1100 on 11/03/04"
3856,MA,1,,,15-Apr-2004,21-May-2004,R,4009,N,T01,"Dry and wet bulb values corrected (problem with offset and slope wrongly set after calibration, these values now re-adjusted)"
6868,MA,1,,,13-Aug-2008,19-Nov-2008,R,4690,N,T01,Loss of data 13-Aug to 25-Sep-2008 and 12- to 19-Nov-2008 due to problems downloading remotely and engineer accidently deleting data.
140,MA,1,,NETRAD,01-Jan-1995,01-Jan-1995,D,3150,N,T02,NETRAD values below lower range of -100
141,MA,1,,NETRAD,30-Jan-1995,30-Jan-1995,D,3150,N,T02,NETRAD values below lower range of -100
194,MA,1,,STMP10,07-Jul-1994,01-Mar-1995,R,3179,N,T02,10cm soil thermometer values may be suspect - instrument replaced in March 1995
195,MA,1,,STMP10,13-Mar-1995,13-Mar-1995,D,3180,N,T02,New 10cm soil thermometer inserted  - from 1700 on 13-MAR-95
240,MA,1,,NETRAD,24-Mar-1995,24-Mar-1995,D,3214,N,T02,Net radiometer re-calibrated
191,MA,1,,NETRAD,08-Jun-1995,30-Jun-1995,R,3177,N,T02,Net Radiometer dome contained condensation
193,MA,1,,NETRAD,04-Jul-1995,04-Jul-1995,D,3178,N,T02,Net radiometer domes replaced
192,MA,1,,NETRAD,04-Jul-1995,25-Jul-1995,R,3177,N,T02,Net Radiometer dome contained condensation
241,MA,1,,NETRAD,01-Mar-1995,17-Aug-1995,D,3215,N,T02,Net radiometer had erratic fault causing some missing values. Logger problem found on 17-AUG-95 which had caused some values to be lost
139,MA,1,,ALBGRD,07-Jul-1994,25-Aug-1995,R,3149,Y,T02,"ALBGRD values range from highly negative up to 1. Suspect calibration
wrong. To be investigated with Didcot"
206,MA,1,,ALBGRD,25-Aug-1995,16-Oct-1995,R,3191,N,T02,Albedometer removed for re-calibration
207,MA,1,,ALBSKY,25-Aug-1995,16-Oct-1995,R,3191,N,T02,Albedometer removed for re-calibration
210,MA,1,,WDIR,09-Oct-1995,13-Dec-1995,R,3193,N,T02,Wind direction values may be unreliable - cable found broken on 16-OCT-95. Known to be OK on 9-OCT-95.Replaced on 13-DEC-95
211,MA,1,,,05-Dec-1995,13-Dec-1995,R,3194,N,T02,Intermittant logger problems between these dates
209,MA,1,,ALBSKY,16-Oct-1995,01-Jan-1996,R,3192,N,T02,Albedometer calibration factors in error in program - to be back-corrected
208,MA,1,,ALBGRD,16-Oct-1995,01-Oct-1996,R,3192,N,T02,Albedometer calibration factors in error in program - to be back-corrected
377,MA,1,,RAIN,08-Jan-1997,08-Jan-1997,D,3290,N,T02,Raingauge blocked with ice 14 00hrs.
388,MA,1,,SURWET,08-Jan-1997,08-Jan-1997,D,3301,N,T02,Snow cover on surface wetness indicator. 14 00hrs.
390,MA,1,,NETRAD,08-Jan-1997,08-Jan-1997,D,3303,N,T02,Condensation in Net Radiometer upper dome. 14 00hrs.
378,MA,1,,,13-Jan-1997,13-Jan-1997,D,3291,N,T02,All instruments washed between 0930 and 1030 hrs.
379,MA,1,,NETRAD,21-Jan-1997,21-Jan-1997,D,3292,N,T02,Condensation in Net Radiometer upper dome.
380,MA,1,,RAIN,13-Jan-1997,21-Jan-1997,R,3293,N,T02,Tipping bucket inside raingauge has been stuck in one position between 1000hrs on 13/1 and 1400hrs on 21/1.
381,MA,1,,NETRAD,04-Feb-1997,04-Feb-1997,D,3294,N,T02,Water droplets on Net Radiometer upper dome.
382,MA,1,,NETRAD,18-Feb-1997,18-Feb-1997,D,3295,N,T02,Condensation in Net Radiometer upper dome.
383,MA,1,,NETRAD,03-Mar-1997,03-Mar-1997,D,3296,N,T02,Condensation in Net Radiometer upper and lower domes.
385,MA,1,,SWATER,18-Mar-1997,18-Mar-1997,D,3298,Y,T02,Exchanged gypsum block for a Thetaprobe soil mosture sensor. First hourly mean with Thetaprobe sensor is at 1700 hrs when measurement changes from bars to Volumetric Water Content as a percentage. Disruption caused data losses between 2-4 pm.
386,MA,1,,NETRAD,28-Mar-1997,28-Mar-1997,D,3299,N,T02,Condensation in Net Radiometer upper dome.
399,MA,1,,,09-Jul-1997,09-Jul-1997,D,3312,N,T02,All instruments washed around 1500 GMT.
397,MA,1,,NETRAD,09-Jul-1997,14-Jul-1997,R,3310,N,T02,Silica gel dessicant removed from net radiometer on 9/7 and replaced on 14/7 with re-dessicated gel.
398,MA,1,,RAIN,11-Jul-1997,22-Aug-1997,R,3311,N,T02,Tipping mechanism jammed sometime betwwen 11/7/97 and 22/8/9. Readings up to 2400 GMT on 11/7 and from 1000 GMT 22/7/97are accurate.
400,MA,1,,SURWET,19-Aug-1997,29-Aug-1997,R,3313,N,T02,Electric cable to surface wetness indicator snapped.
665,MA,1,,NETRAD,28-May-1998,28-May-1998,D,3477,N,T02,Net radiometer dome was replaced on 28/5/98
680,MA,1,,RAIN,03-Nov-1998,03-Nov-1998,D,3485,N,T02,Disconnected and cleaned rain guage
681,MA,1,,RAIN,01-Sep-1998,03-Nov-1998,R,3486,N,T02,No rain data for this date range as the tipping bucket was not recording properly.  There is rain data for this period from another AWS stored in /users/ecn/indata/gle/ma/d806c.dat
682,MA,1,,,17-Nov-1998,17-Nov-1998,D,3487,N,T02,No data for 10:00 due to problems with transfer record file
683,MA,1,,,10-Dec-1998,10-Dec-1998,D,3488,N,T02,Replaced silica gel pack in logger box
733,MA,1,,,24-Jun-1999,24-Jun-1999,D,3533,N,T02,Cleaned and sorted rainguage and re-anchored to concrete slab and levelled the guage.
735,MA,1,,NETRAD,26-Jun-1999,01-Jul-1999,R,3535,N,T02,No net radiometer values from 26th June at 13:00 to 1st July.  Sheep chewed through the wire from the weather station to the logger.  Wire now repaired.
734,MA,1,,,07-Jul-1999,07-Jul-1999,D,3534,N,T02,Levelled rain gauge again and re-connected earth wire from weather station tower (sheep damage).
776,MA,1,,RAIN,07-Jul-1999,07-Jul-1999,D,3555,N,T02,RAIN GAUGE RE- ANCHORED TO CONCRETE BLOCK AS IT WAS DISTURBED BY SHEEP.  REPLACED AWS EARTH CABLE AS IT WAS CHEWED BY SHEEP.
777,MA,1,,NETRAD,01-Jul-1999,08-Jul-1999,R,3556,N,T02,NET RADIOMETER VALUES ARE MISSING FROM 1/7/99 TO 8/7/99 AT 09:00.  SHEEP DAMMAGE TO CONNECTING WIRE.  WIRE RE-CONNECTED AND SOLDERED.
779,MA,1,,,04-Aug-1999,04-Aug-1999,D,3558,N,T02,REPLACED SILICA GEL SATCHELS IN LOGGER BOX
778,MA,1,,RAIN,03-Jul-1999,03-Sep-1999,R,3557,N,T02,NO RAINFALL READINGS FROM 3/7/99 TO 3/9/99 AT 21:00.  DAMMAGE BY SHEEP AND BROKEN CABLE.  RAIN GAUGE FIXED 3/9/99.
798,MA,1,,NETRAD,05-Nov-1999,05-Nov-1999,D,3575,N,T02,"Net radiometer value not included, the value was out of range (-121.1)"
799,MA,1,,,09-Dec-1999,09-Dec-1999,D,3576,N,T02,Replaced silica gel packs in logger box
396,MA,1,,SWATER_T,01-Jul-1997,31-Dec-1999,R,3298,Y,T02,Exchanged gypsum block for a Thetaprobe soil mosture sensor. First hourly mean with Thetaprobe sensor is at 1700 hrs when measurement changes from bars to Volumetric Water Content as a percentage. Disruption caused data losses between 2-4 pm.
860,MA,1,,WETTMP,19-Jan-2000,19-Jan-2000,D,3627,Y,T02,Changed wet bulb wick on wet bulb thermometer
870,MA,1,,,01-Jun-2000,07-Jun-2000,R,3636,N,T02,"Rain guage blocked by debris, no rainfall due to inaccuracy"
872,MA,1,,RAIN,16-Aug-2000,16-Aug-2000,D,3638,N,T02,Cleaned rain guage
1572,MA,1,,,01-Apr-2001,01-Jun-2001,R,3750,Y,T02,The Albedometer ground values are incorrect and have not been sent.  The readings have been too low compared to last years values and the Sky values.
1793,MA,1,,,12-Jul-2001,12-Jul-2001,D,3767,N,T02,"The soil 10cm temperature sensor was trampled and damaged by cattle, this was replaced."
1794,MA,1,,NETRAD,11-Sep-2001,11-Sep-2001,D,3768,N,T02,"Net Radiometer dome was found burst, replaced at 08:00."
1792,MA,1,,,01-Jul-2001,01-Oct-2001,R,3766,N,T02,Albedometer ground values removed at the site as they were felt to be incorrect when compared to last years values.
2155,MA,1,,,12-Mar-2002,13-Mar-2002,R,3805,Y,T02,"day 71 and 72 - replaced the wet bulb, soil 10cm and soil 30cm sensors.  cables had been chewed by small mammals, the dry bulb sensor was re-calibrated with iced water.  All other sensors were washed and sillica jell replaced.  Removed the dome from the net radiometer to remove condensation.  The rain gauge was also checked and the cable also showing signs of rodent dammage - replaced"
